route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
nir:08021:5:R:y14,,215,Bus 215,Downpatrick - Belfast,3,,,
nir:06006:3:R:y14,,63,Bus 63,Newry - Portadown,3,,,
nir:0816C: :H:y14,,16c,Bus 16c,"Downpatrick, Bus Station - Ballykinlar, Camp",3,,,
nir:19009: :R:y14,,9,Bus 9,Portaferry - Newtownards - Belfast,3,,,
nir:20096: :H:y14,,96,Bus 96,"Omagh, Buscentre - Castlederg, John Street",3,,,
nir:08017:A:H:y14,,17A,Bus 17A,Downpatrick - Newcastle,3,,,
nir:17338:C:H:y14,,338D,Bus 338D,Newry City Service - Drumgullion,3,,,
nir:20087: :R:y14,,87,Bus 87,"Fintona, Mainstreet - Omagh, Buscentre",3,,,
nir:210FY:8:H:y14,,FY8,Bus FY8,City Centre - Creggan,3,,,
nir:15009:C:H:mtt,,9C,Bus 9C,City Centre - Balmoral Sicily Park - Conway,3,,,
nir:15010:G:R:mtt,,10G,Bus 10G,Lagmore Mount Eagles - City Centre,3,,,
nir:12010: :H:y14,,10,Bus 10,Belfast - Portaferry Via Newtownards,3,,,
nir:17003:5:H:y14,,35,Bus 35,Rathfriland - Newry,3,,,
nir:06368:A:H:y14,,368B,Bus 368B,Portadown Town Service,3,,,
nir:13030:0:H:y14,,300,Bus 300,Belfast - International Airport,3,,,
nir:21FY4: :R:y14,,FY4,Bus FY4,Curryneirin - Altnagelvin - City Centre,3,,,
nir:05132: :H:y14,,132,Bus 132,"Portrush, Dunluce Avenue - Ballymoney, Buscentre",3,,,
nir:0975A: :R:y14,,75A,Bus 75A,"Craigavon Hospital - Dungannon, Bus Station",3,,,
nir:90001: :R:r12,,,Rail,,6,,,
nir:13051:3:H:y14,,513,Bus 513,Belfast - Drumbo,3,,,
nir:13325:H:R:y14,,325g,Bus 325g,"Hillsborough, Kilwarlin Way - Lisburn City Service",3,,,
nir:0816F: :R:y14,,16F,Bus 16F,Ardglass - Downpatrick,3,,,
nir:13325:A:H:y14,,325B,Bus 325B,Lisburn City Service - Plantation Road,3,,,
nir:01010:9:H:y14,,109,Bus 109,Lisburn - Crumlin - Antrim,3,,,
nir:07014:4:R:y14,,144,Bus 144,Limavady - Derry~Londonderry,3,,,
nir:20384:C:R:y14,,384C,Bus 384C,Omagh Town Service,3,,,
nir:19006: :R:y14,,6,Bus 6,Newtownards - Bangor,3,,,
nir:19005:F:R:y14,,5F,Bus 5F,Newtownards - Belfast,3,,,
nir:15008:9:H:mtt,,89,Bus 89,City Centre - Donegall Road - Falls Park,3,,,
nir:15001:8:R:mtt,,18,Bus 18,Gilnahirk - City Centre,3,,,
nir:17338:D:H:y14,,338F,Bus 338F,Newry City Service - Fr. Cullen Park,3,,,
nir:21FY1:A:R:y14,,FY13,Bus FY13,Fernabbey - City Centre,3,,,
nir:15001:D:R:mtt,,1D,Bus 1D,Mossley Glade - New Mossley - City Centre,3,,,
nir:0700X:4:R:y14,,X4,Bus X4,Dublin - Dublin Airport - Derry~Londonderry,3,,,
nir:15012:A:H:mtt,,12A,Bus 12A,City Centre - Carr's Glen,3,,,
nir:15010:H:R:mtt,,10H,Bus 10H,Blacks Road - City Centre,3,,,
nir:10058: :R:y14,,58,Bus 58,"Belturbet, - Enniskillen, Buscentre",3,,,
nir:10397:B:H:y14,,397b,Bus 397b,"Enniskillen, Buscentre - Enniskillen, Buscentre",3,,,
nir:1506A: :H:mtt,,6A,Bus 6A,City Centre - Forestside,3,,,
nir:90003: :H:r12,,,Rail,,6,,,
nir:08017:A:R:y14,,17A,Bus 17A,Newcastle - Downpatrick,3,,,
nir:19009:B:R:y14,,9B,Bus 9B,Portaferry - Newtownards - Belfast,3,,,
nir:12130: :H:y14,,130,Bus 130,"Ballymena, Bus Station - Larne, Bus Station",3,,,
nir:19009: :H:y14,,9,Bus 9,Belfast - Newtownards - Portaferry,3,,,
nir:19005: :H:y14,,5,Bus 5,Belfast - Newtownards,3,,,
nir:07014:3:R:y14,,143,Bus 143,Coleraine - Limavady - Derry~Londonderry,3,,,
nir:15011:B:H:mtt,,11B,Bus 11B,City Centre - Springmartin,3,,,
nir:15005:7:H:mtt,,57,Bus 57,City Centre - Ligoniel,3,,,
nir:12007: :H:y14,,7,Bus 7,"Belfast, Europa Buscentre - Ballywalter, Main Street",3,,,
nir:13026: :H:y14,,26,Bus 26,"Lisburn, Buscentre - Dromara, Bus Depot",3,,,
nir:15001:F:H:mtt,,1F,Bus 1F,City Centre - Mayfield - Blackrock,3,,,
nir:05140:A:H:y14,,140A,Bus 140A,Coleraine Triangle Service,3,,,
nir:06062: :R:y14,,62,Bus 62,"Banbridge, War Memorial - Portadown, High Street",3,,,
nir:03324:C:H:y14,,324C,Bus 324C,Ballymena Town Service Galgorm,3,,,
nir:13052:5:H:y14,,525,Bus 525,Belfast - Lisburn,3,,,
nir:12025:6:R:y14,,256,Bus 256,Larne - Belfast,3,,,
nir:13050:3:R:y14,,503,Bus 503,Crumlin - Ballymacash - Belfast,3,,,
nir:03149: :R:y14,,149,Bus 149,"Ballymena, Buscentre - Ballyclare, Bus Station",3,,,
nir:15012:A:R:mtt,,12A,Bus 12A,Carr's Glen - City Centre,3,,,
